target_lang|closest_lang_0|average_dist_0|map_dist_0|tree_dist_0|asp_dist_0|closest_lang_1|average_dist_1|map_dist_1|tree_dist_1|asp_dist_1|closest_lang_2|average_dist_2|map_dist_2|tree_dist_2|asp_dist_2|closest_lang_3|average_dist_3|map_dist_3|tree_dist_3|asp_dist_3|closest_lang_4|average_dist_4|map_dist_4|tree_dist_4|asp_dist_4
acf|hat|0.04712881741640109|0.06030537116812225|0.08108108108108103|0.0|fra|0.32288414751324407|0.3386933060116089|0.1351351351351351|0.4948240013929883|kea|0.3503747876900336|0.20248987854552206|0.38888888888888884|0.45974559563568995|glg|0.3914892096125813|0.2956352335665181|0.3529411764705882|0.5258912188006377|lat|0.40301327215847255|0.37747722403323525|0.4814814814814815|0.35008111096070105
acr|usp|0.09634138160179674|0.0033098590911045432|0.2857142857142857|0.0|agu|0.1573457912967803|0.0053707072236741935|0.4666666666666667|0.0|ttc|0.1587896158212905|0.009702180797204809|0.4666666666666667|0.0|kek|0.23018288878605553|0.006176817407353285|0.2857142857142857|0.39865756323652757|mop|0.3266533160486617|0.009873813480886095|0.5714285714285714|0.39865756323652757
acu|jiv|0.20238762270011101|0.006193285786324822|0.25|0.3509695823140082|hub|0.2162572594783374|0.007566348856948257|0.25|0.3912054295780639|cbt|0.39753684886750157|0.01572995079934363|0.7142857142857143|0.46259488151744677|yad|0.4031772034809829|0.028233520888375618|0.7142857142857143|0.46701237526885875|kwi|0.4038668729097142|0.023136326272783957|0.75|0.43846429245635865
afr|nld|0.37488300576900285|0.4274925326911963|0.13043478260869568|0.5667217020071164|seh|0.4965803341200348|0.02864745573505725|0.9166666666666666|0.5444268799583807|nya|0.5011936465004911|0.042487392876426076|0.9166666666666666|0.5444268799583807|poy|0.50403552121105|0.08107611895946515|0.9090909090909091|0.5219395355827758|deu|0.5061035055805118|0.4007721458508141|0.52|0.5975383708907213
agd|awb|0.09614670140088988|0.0027258184883839436|0.2857142857142857|0.0|omw|0.12848377075836426|0.0008359276597081865|0.3846153846153846|0.0|tbg|0.1287808697471625|0.0017272246261028825|0.3846153846153846|0.0|snp|0.19171941526479844|0.003729674365823906|0.5714285714285714|0.0|kmu|0.20074566320757573|0.002236989622727192|0.6|0.0
agg|ata|0.3243145911390434|0.05560127099700504|0.6|0.31734250242012507|byr|0.3579954071405595|0.031035276069655875|0.75|0.2929509453520227|mcq|0.36040268168298056|0.049579828343102116|0.7142857142857143|0.31734250242012507|gai|0.3715828596854905|0.019628298858568646|0.7777777777777778|0.31734250242012507|geb|0.3716155527080843|0.019726377926349882|0.7777777777777778|0.31734250242012507
agn|tbl|0.24019672868398043|0.03599127534387097|0.4545454545454546|0.23005345616261574|sgb|0.24990468372951993|0.026152634605457116|0.5|0.2235614165831027|bpr|0.2560020974829044|0.03795283628609754|0.5|0.23005345616261574|bps|0.25669450197080923|0.040030049749811995|0.5|0.23005345616261574|cgc|0.2671448487686839|0.0012442883299378727|0.5|0.30019025797611376
agr|cbt|0.35715795835378367|0.0063544968839533466|0.6666666666666667|0.39845271151073103|yad|0.36623903498215543|0.033293025585017566|0.6666666666666667|0.39875741269478215|kwi|0.36941917986013356|0.03609961405801144|0.7142857142857143|0.3578722112366749|mcd|0.38569619348491374|0.0451888697995133|0.8181818181818181|0.29371789247340985|cax|0.3928075798972834|0.10830949973507599|0.6666666666666667|0.40344657329010736
agu|ttc|0.09668586370415455|0.004343305398177929|0.2857142857142857|0.0|usp|0.1289699378239582|0.0022944288564899357|0.3846153846153846|0.0|acr|0.1573457912967803|0.0053707072236741935|0.4666666666666667|0.0|kek|0.2647958346692716|0.01111455615590261|0.3846153846153846|0.39865756323652757|lac|0.31549578247277765|0.009368245720266974|0.5384615384615384|0.39865756323652757
aia|apb|0.04880317265128876|0.0035523750967233736|0.1428571428571429|0.0|lgl|0.07537813221133845|0.008743092286189314|0.21739130434782605|0.0|kwf|0.07543436331473508|0.008911785596379182|0.21739130434782605|0.0|far|0.08655535188073256|0.00966605564219768|0.25|0.0|nlg|0.12438547709719072|0.009520067655208526|0.36363636363636365|0.0
