target_lang|closest_lang_0|average_dist_0|map_dist_0|tree_dist_0|asp_dist_0|closest_lang_1|average_dist_1|map_dist_1|tree_dist_1|asp_dist_1|closest_lang_2|average_dist_2|map_dist_2|tree_dist_2|asp_dist_2|closest_lang_3|average_dist_3|map_dist_3|tree_dist_3|asp_dist_3|closest_lang_4|average_dist_4|map_dist_4|tree_dist_4|asp_dist_4
aaa|atg|0.12328231457763787|0.001425891101334618|0.368421052631579|0.0|ikk|0.28012310686955905|0.004591033823557374|0.5|0.3357782867851197|nin|0.30284688289689565|0.01720680635001171|0.5555555555555556|0.3357782867851197|mkl|0.32775629875665196|0.02692702237221839|0.5555555555555556|0.4007863183421818|kdl|0.3382501717797181|0.014969995239232564|0.5789473684210527|0.42083315167886903
aab|nin|0.21916959414153472|0.0005701245706988306|0.4444444444444444|0.21249421340946095|ikk|0.28610706229133454|0.019199519019032652|0.5|0.339121667854971|atg|0.3200315693198718|0.016531012008869632|0.5789473684210527|0.3646163275296932|mkl|0.3303925805006453|0.032158052069108024|0.5555555555555556|0.4034641338772723|ibo|0.3382122600769506|0.025340052318597758|0.5|0.489296727912254
aac|ata|0.2546184992952281|0.04956978359997016|0.7142857142857143|0.0|geb|0.28076173483196365|0.024103386314072796|0.8181818181818181|0.0|gai|0.28103668271031085|0.02492822994911437|0.8181818181818181|0.0|msy|0.28589638432294173|0.024355819635491865|0.8333333333333334|0.0|byr|0.3555025904836168|0.01975605702200082|0.8|0.24675171442884958
aad|ata|0.41817200469921606|0.05092451577308067|0.6|0.6035914983245675|urt|0.42089027818733254|0.005052200343463705|0.7142857142857143|0.5433329199328196|yva|0.4348341394551178|0.03424425337411902|0.6666666666666667|0.6035914983245675|ipi|0.4419695204495974|0.009750274049561304|0.75|0.5661582872992309|kyc|0.44349932236226747|0.014339679787571407|0.75|0.5661582872992309
aae|lat|0.3527503934584801|0.02456050925757462|0.5714285714285714|0.4622620996892941|grc|0.3711077048363484|0.022940290984503897|0.5384615384615384|0.551921285063003|lvs|0.3730369788239423|0.10401690222180088|0.5384615384615384|0.47663249578848776|bel|0.38516544551833004|0.08651737850589829|0.5384615384615384|0.5305174195875535|mkd|0.40198547917685373|0.026228070036007804|0.6|0.5797283674945533
aaf|mal|0.17977235420488846|0.011087035261027589|0.08333333333333337|0.4448966940203044|tam|0.18248620841259452|0.0171883013810383|0.19999999999999996|0.33027032385674526|kan|0.3422752640048183|0.01248683821741961|0.5238095238095238|0.49052942998751137|tel|0.396493584581368|0.0322846570899259|0.6666666666666667|0.49052942998751137|mjl|0.4738454774778918|0.1119463702936325|0.9|0.409590062140043
aag|urt|0.3337594895865945|0.0012784687597835204|1.0|0.0|ata|0.3799519611806737|0.048336339578172356|0.7142857142857143|0.37723382967813457|apr|0.40073877337358405|0.02691243359225868|0.8823529411764706|0.2929509453520227|met|0.40077972273344536|0.027035281671843017|0.8823529411764706|0.2929509453520227|amk|0.40145323517548187|0.03487417809256227|0.8823529411764706|0.2871325862574128
aah|urt|0.1518629358658822|0.0010433530521919748|0.4545454545454546|0.0|ata|0.4005413818009194|0.04661253794684595|0.7777777777777778|0.37723382967813457|apr|0.40435894834517344|0.025389057578234404|0.8947368421052632|0.2929509453520227|met|0.4044730796909944|0.025731451615697253|0.8947368421052632|0.2929509453520227|bzh|0.4052046879920563|0.028481477718755834|0.9|0.2871325862574128
aai|mox|0.06928701036028616|0.007861031080858493|0.19999999999999996|0.0|tte|0.08761855582634302|0.012855667479029059|0.25|0.0|mpx|0.11801482595981422|0.020711144546109287|0.33333333333333337|0.0|tgo|0.11999732323598677|0.026658636374626937|0.33333333333333337|0.0|met|0.28665311404756966|0.022228676423741496|0.43999999999999995|0.39773066571896754
aak|byr|0.13390190266120167|0.0017057079836049534|0.4|0.0|ata|0.33055185027395784|0.030618122107309607|0.7142857142857143|0.24675171442884958|agg|0.35822384575134275|0.03172059190200554|0.75|0.2929509453520227|geb|0.3607189697146879|0.01722337653339598|0.8181818181818181|0.24675171442884958|gai|0.3610167550517039|0.018116732544444143|0.8181818181818181|0.24675171442884958
aal|xed|0.32211672067812736|0.008032354904363702|0.375|0.5833178071300184|meq|0.3314936050244038|0.007825578827735906|0.4444444444444444|0.542210791801031|mqb|0.3410083233838124|0.007502793955972477|0.4666666666666667|0.5488555095287979|muy|0.3420578379089876|0.006995438889782663|0.4444444444444444|0.5747336303927356|hau|0.4313767585506003|0.03230333019657883|0.625|0.6368269454552222
aan|urb|0.23890054754476078|0.017191284329844278|0.375|0.3245103583044381|kyz|0.2526897226670173|0.05855880969661376|0.375|0.3245103583044381|gyr|0.26628148423100956|0.0993340943885907|0.375|0.3245103583044381|gub|0.32299766392845125|0.0227757294112298|0.4117647058823529|0.534452556491771|yad|0.39859362632531276|0.127401001258263|0.8181818181818181|0.2501980595358573
aao|mlt|0.26289266705076586|0.09546917402910243|0.11111111111111116|0.582097716012084|arb|0.3386222222017013|0.20092490018846274|0.17647058823529416|0.638471178181347|heb|0.4129395144438601|0.16080701052182342|0.4444444444444444|0.6335670883653125|amh|0.4918621650979027|0.1919490984942074|0.5555555555555556|0.7280818412439453|nhu|0.5155762339666251|0.08609444137387683|0.9|0.5606342605259984
aap|guo|0.4074356822229756|0.11064628205985429|0.75|0.36166076460907237|jvn|0.4263794280298292|0.05235514955221541|0.8181818181818181|0.40860131635545394|yad|0.42893776620575924|0.1063889766484922|0.75|0.43042432196878555|ycn|0.4382224683404318|0.1010607629536482|0.8181818181818181|0.3954248238858291|cbt|0.4410756902910535|0.1321998922659822|0.75|0.4410271786071782
