target_lang|closest_lang_0|average_dist_0|map_dist_0|tree_dist_0|asp_dist_0|closest_lang_1|average_dist_1|map_dist_1|tree_dist_1|asp_dist_1|closest_lang_2|average_dist_2|map_dist_2|tree_dist_2|asp_dist_2|closest_lang_3|average_dist_3|map_dist_3|tree_dist_3|asp_dist_3|closest_lang_4|average_dist_4|map_dist_4|tree_dist_4|asp_dist_4
acf|srn|0.2022034175760937|0.062322683945035116|0.17142857142857143|0.37285899735467454|djk|0.2036678546023405|0.07147789978568031|0.16666666666666666|0.37285899735467454|ztq|0.20396574087761474|0.18613090119869696|0.06451612903225806|0.36125019240188916|zpm|0.2041298966437527|0.18662336849711086|0.06451612903225806|0.36125019240188916|zty|0.20467784850634405|0.18611668645047627|0.06666666666666667|0.36125019240188916
acr|agu|0.1795680135190025|0.0053707072236741935|0.5333333333333333|0.0|ttc|0.18101183804351273|0.009702180797204809|0.5333333333333333|0.0|tos|0.18798770103407306|0.0484182009221847|0.13333333333333333|0.38221156884670116|toc|0.1882653663281129|0.0492511968043042|0.13333333333333333|0.38221156884670116|tpt|0.21539433116374376|0.051914688608062275|0.16666666666666666|0.4276016382165023
acu|agr|0.1297456965587612|0.01415499409653124|0.0|0.37508209557975236|kaq|0.18699817542157124|0.02642406003835789|0.16666666666666666|0.3679037995596891|mcd|0.20316621993343995|0.051626563555589276|0.16666666666666666|0.3912054295780639|qvz|0.22129116354699266|0.008570312184917878|0.13333333333333333|0.5219698451227268|qxn|0.2276080062124297|0.033993461550248474|0.18181818181818182|0.46701237526885875
afr|seh|0.2188025563422571|0.02864745573505725|0.08333333333333333|0.5444268799583807|nya|0.22341586872271335|0.042487392876426076|0.08333333333333333|0.5444268799583807|poy|0.2313082484837773|0.08107611895946515|0.09090909090909091|0.5219395355827758|zga|0.23647137032925988|0.07349956926851117|0.08333333333333333|0.552581208385935|toi|0.2368988477522079|0.02953011623282917|0.08|0.6011664270237945
agd|kmu|0.13407899654090907|0.002236989622727192|0.4|0.0|kyg|0.1343054591501123|0.0029163774503368463|0.4|0.0|snp|0.14410036764575082|0.003729674365823906|0.42857142857142855|0.0|boj|0.1552891811010454|0.0042757554131557345|0.0|0.46159178788998045|kue|0.1556840410619034|0.0054603352957297|0.0|0.46159178788998045
agg|msy|0.17927094739685714|0.02047033977044639|0.2|0.31734250242012507|gai|0.1863976745003053|0.019628298858568646|0.2222222222222222|0.31734250242012507|geb|0.18643036752289907|0.019726377926349882|0.2222222222222222|0.31734250242012507|amk|0.19029444132747678|0.02788446125082983|0.13333333333333333|0.40966552939826717|byr|0.1913287404738929|0.031035276069655875|0.25|0.2929509453520227
agn|tcs|0.21198354005292688|0.17463750151580454|0.1|0.3613131186429761|tpi|0.21666263710696868|0.18867479267792994|0.1|0.3613131186429761|rop|0.2178133726751473|0.186863841487729|0.10526315789473684|0.3613131186429761|lao|0.2351130317924727|0.10361416979054913|0.11764705882352941|0.48407786676333964|kne|0.23548040014178082|0.03540987118198419|0.375|0.2960313292433583
agr|jiv|0.08123054266252798|0.010328887251762984|0.0|0.23336274073582097|hub|0.11901566984483879|0.0072452972534734|0.0|0.34980171228104295|acu|0.1297456965587612|0.01415499409653124|0.0|0.37508209557975236|mcd|0.17357498136370167|0.0451888697995133|0.18181818181818182|0.29371789247340985|kaq|0.22011136607721862|0.020934275002649896|0.18181818181818182|0.45758164141082425
agu|acr|0.1795680135190025|0.0053707072236741935|0.5333333333333333|0.0|tos|0.18952923788853573|0.04351900196176319|0.14285714285714285|0.38221156884670116|toc|0.18981492876525644|0.044376074591925364|0.14285714285714285|0.38221156884670116|usp|0.2058930147470351|0.0022944288564899357|0.6153846153846154|0.0|tpt|0.21880572157805975|0.04699734469949503|0.18181818181818182|0.4276016382165023
aia|kue|0.21252168882086866|0.09376016347392403|0.1111111111111111|0.43269379187757084|boj|0.21363289334852967|0.09055782934448876|0.11764705882352941|0.43269379187757084|gam|0.21480648199914384|0.09407859529633124|0.11764705882352941|0.43269379187757084|nlg|0.21529456800628163|0.009520067655208526|0.6363636363636364|0.0|med|0.2159725892463421|0.09757691703792605|0.11764705882352941|0.43269379187757084
ake|car|0.14659957727530556|0.022375254425218535|0.0|0.4174234774006982|pib|0.21934263554622854|0.11776625050930424|0.13333333333333333|0.40692832279604807|cni|0.2253805168811014|0.12336432387388353|0.125|0.42777722676942065|tuf|0.22866031402134027|0.06224707447678391|0.14285714285714285|0.480876724730094|ycn|0.23080961584306312|0.06810929976962257|0.15384615384615385|0.4704733939134129
alp|urt|0.18031241684213287|0.08002061304293784|0.11764705882352941|0.34326957865993135|bbb|0.1975391627195772|0.11339890702639711|0.1111111111111111|0.36810747002122346|mcq|0.20036913473346737|0.11535287535564918|0.11764705882352941|0.36810747002122346|tcs|0.2021301298878998|0.09031451599727719|0.07142857142857142|0.44464730223785076|msy|0.2035946117112393|0.0915702988191442|0.1|0.4192135363145737
ame|qvz|0.2081158113467448|0.048041498108646705|0.125|0.45130593593158774|qxo|0.20869705317862108|0.011424556565142149|0.16666666666666666|0.44799993630405444|qvm|0.21245625971682144|0.007550661028228038|0.18181818181818182|0.44799993630405444|qxn|0.21573274955417676|0.014427399286549616|0.16666666666666666|0.466104182709314|qvw|0.21899538842655297|0.00906380075216319|0.18181818181818182|0.466104182709314
amf|ziw|0.23443056858924785|0.059988783996655186|0.1|0.5433029217710884|ngp|0.2345657007509879|0.060394180481875184|0.1|0.5433029217710884|lug|0.23491295394504172|0.03433925469200205|0.1111111111111111|0.559288496032012|kdc|0.23724068598643178|0.06841913618820693|0.1|0.5433029217710884|cwe|0.23780788376555204|0.06485757163083077|0.10526315789473684|0.5433029217710884
amh|muy|0.235894040133961|0.13829258872182876|0.0|0.5693895316800542|meq|0.24045968602205525|0.1390102834506449|0.0|0.5823687746155208|mqb|0.24226302915181805|0.1385720751288615|0.0|0.5882170123265926|som|0.25150471393345536|0.04920507293460932|0.0|0.7053090688657567|xed|0.2532813640912365|0.14111587296369088|0.0|0.6187282193100186
amk|urt|0.14940815247274988|0.03609187116083684|0.125|0.2871325862574128|bmu|0.1592631342975219|0.06520880523434533|0.09523809523809523|0.31734250242012507|ksr|0.15960157719946286|0.06622413394016824|0.09523809523809523|0.31734250242012507|mpp|0.15978640401598096|0.06677861438972257|0.09523809523809523|0.31734250242012507|nca|0.1600149499291771|0.05743918947266942|0.10526315789473684|0.31734250242012507
apb|kue|0.2145067207742748|0.09317931162172408|0.11764705882352941|0.43269379187757084|boj|0.2158453446273386|0.08984224200444493|0.125|0.43269379187757084|gam|0.21705262414218218|0.09346408054897563|0.125|0.43269379187757084|med|0.2182227471902645|0.09697444969322268|0.125|0.43269379187757084|imo|0.2185711401390329|0.09801962853952789|0.125|0.43269379187757084
apr|urt|0.1478971189350245|0.025740411453050793|0.125|0.2929509453520227|mpp|0.18026237773700057|0.0065522347929742085|0.09523809523809523|0.4389968031799323|bmu|0.18032982604106318|0.006754579705161978|0.09523809523809523|0.4389968031799323|ksr|0.18050194098917985|0.007270924549512119|0.09523809523809523|0.4389968031799323|tpi|0.18173978481470918|0.022710830851595424|0.07407407407407407|0.448434449518458
arb|som|0.24491291771452559|0.12845475446109106|0.0|0.6062839986824857|sdh|0.27037044299363405|0.03035852939060325|0.10526315789473684|0.675489641695562|meq|0.2825748448407914|0.1822092720249541|0.0|0.6655152624974201|mqb|0.28389491910143433|0.18175792946019614|0.0|0.6699268278441067|glk|0.2893849734137466|0.058058997647369395|0.10526315789473684|0.7048327646991335
arl|cpu|0.22604560312885102|0.047122090941238516|0.13333333333333333|0.49768138511198123|kaq|0.23772577061490244|0.026097074962097514|0.15384615384615385|0.533234083036456|cjo|0.23910780724139657|0.04886581601592279|0.13333333333333333|0.5351242723749335|cpb|0.24008908323162612|0.04292118300452529|0.13333333333333333|0.5440127333570197|cni|0.24246736567262386|0.05548617542137018|0.14285714285714285|0.5290587787393586
asm|hlt|0.19320253103593443|0.017223422403673954|0.10526315789473684|0.45712101280939255|cek|0.19872157230614662|0.0279325929979362|0.1111111111111111|0.45712101280939255|suz|0.2057057227112289|0.02630134239969947|0.10526315789473684|0.48555266783925033|zyp|0.2097262575796516|0.022120624769670694|0.10526315789473684|0.5017949900745473|lao|0.23305867980574835|0.06949043391085509|0.08695652173913043|0.5427290837672596
ast|bos|0.2600487430420528|0.09385586574436718|0.2222222222222222|0.46406814115956885|mlt|0.27708431658471083|0.09529441302499286|0.08333333333333333|0.6526252033958063|hun|0.2795528614091131|0.10430165823561949|0.1111111111111111|0.6232458148806088|gux|0.2933857788063423|0.17398610363752876|0.06451612903225806|0.6416551037492402|ncu|0.29546800021212455|0.19187777124997804|0.07142857142857142|0.6230976579578241
ata|msy|0.08579112326431426|0.03515114757072058|0.2222222222222222|0.0|geb|0.0952990257749753|0.03589707732492591|0.25|0.0|gai|0.09536182447959517|0.036085473438785466|0.25|0.0|lbb|0.17396013167254862|0.010915782139279516|0.14285714285714285|0.36810747002122346|rai|0.17398634757086162|0.010994429834218538|0.14285714285714285|0.36810747002122346
atb|suz|0.16250984954143616|0.06345477740441936|0.0|0.4240747712198891|hlt|0.16275007857447077|0.028604322814376082|0.0|0.4596459129090362|cek|0.16354610166970426|0.030992392100076576|0.0|0.4596459129090362|zyp|0.1696949606891537|0.02762132928695716|0.0|0.481463552780504|lao|0.20929113007173483|0.03562138003108588|0.1|0.49225201018411857
