target_lang|closest_lang_0|average_dist_0|map_dist_0|tree_dist_0|asp_dist_0|closest_lang_1|average_dist_1|map_dist_1|tree_dist_1|asp_dist_1|closest_lang_2|average_dist_2|map_dist_2|tree_dist_2|asp_dist_2|closest_lang_3|average_dist_3|map_dist_3|tree_dist_3|asp_dist_3|closest_lang_4|average_dist_4|map_dist_4|tree_dist_4|asp_dist_4
acf|hat|0.9528711825835989|0.9396946288318777|0.918918918918919|1.0|fra|0.6771158524867559|0.6613066939883911|0.8648648648648649|0.5051759986070117|kea|0.6496252123099664|0.797510121454478|0.6111111111111112|0.54025440436431|glg|0.6085107903874186|0.7043647664334819|0.6470588235294118|0.4741087811993623|lat|0.5969867278415274|0.6225227759667648|0.5185185185185185|0.649918889039299
acr|usp|0.9036586183982033|0.9966901409088954|0.7142857142857143|1.0|agu|0.8426542087032197|0.9946292927763258|0.5333333333333333|1.0|ttc|0.8412103841787095|0.9902978192027951|0.5333333333333333|1.0|kek|0.7698171112139445|0.9938231825926467|0.7142857142857143|0.6013424367634724|mop|0.6733466839513382|0.9901261865191139|0.42857142857142855|0.6013424367634724
acu|jiv|0.797612377299889|0.9938067142136752|0.75|0.6490304176859918|hub|0.7837427405216625|0.9924336511430517|0.75|0.6087945704219361|cbt|0.6024631511324984|0.9842700492006564|0.2857142857142857|0.5374051184825532|yad|0.596822796519017|0.9717664791116244|0.2857142857142857|0.5329876247311413|kwi|0.5961331270902858|0.976863673727216|0.25|0.5615357075436413
afr|nld|0.6251169942309973|0.5725074673088038|0.8695652173913043|0.43327829799288364|seh|0.5034196658799651|0.9713525442649428|0.08333333333333333|0.4555731200416193|nya|0.49880635349950886|0.9575126071235739|0.08333333333333333|0.4555731200416193|poy|0.49596447878894995|0.9189238810405349|0.09090909090909091|0.47806046441722416|deu|0.4938964944194882|0.5992278541491859|0.48|0.40246162910927874
agd|awb|0.9038532985991101|0.9972741815116161|0.7142857142857143|1.0|omw|0.8715162292416357|0.9991640723402918|0.6153846153846154|1.0|tbg|0.8712191302528375|0.9982727753738971|0.6153846153846154|1.0|snp|0.8082805847352015|0.9962703256341761|0.42857142857142855|1.0|kmu|0.7992543367924242|0.9977630103772728|0.4|1.0
agg|ata|0.6756854088609566|0.9443987290029949|0.4|0.6826574975798749|byr|0.6420045928594406|0.9689647239303442|0.25|0.7070490546479773|mcq|0.6395973183170195|0.9504201716568978|0.2857142857142857|0.6826574975798749|gai|0.6284171403145095|0.9803717011414314|0.2222222222222222|0.6826574975798749|geb|0.6283844472919157|0.9802736220736501|0.2222222222222222|0.6826574975798749
agn|tbl|0.7598032713160195|0.9640087246561291|0.5454545454545454|0.7699465438373843|sgb|0.75009531627048|0.9738473653945429|0.5|0.7764385834168973|bpr|0.7439979025170956|0.9620471637139024|0.5|0.7699465438373843|bps|0.7433054980291907|0.959969950250188|0.5|0.7699465438373843|cgc|0.7328551512313162|0.9987557116700622|0.5|0.6998097420238862
agr|cbt|0.6428420416462163|0.9936455031160466|0.3333333333333333|0.601547288489269|yad|0.6337609650178445|0.9667069744149824|0.3333333333333333|0.6012425873052178|kwi|0.6305808201398665|0.9639003859419886|0.2857142857142857|0.6421277887633251|mcd|0.6143038065150862|0.9548111302004867|0.18181818181818182|0.7062821075265902|cax|0.6071924201027167|0.891690500264924|0.3333333333333333|0.5965534267098926
agu|ttc|0.9033141362958453|0.995656694601822|0.7142857142857143|1.0|usp|0.8710300621760418|0.9977055711435101|0.6153846153846154|1.0|acr|0.8426542087032197|0.9946292927763258|0.5333333333333333|1.0|kek|0.7352041653307283|0.9888854438440974|0.6153846153846154|0.6013424367634724|lac|0.6845042175272223|0.990631754279733|0.46153846153846156|0.6013424367634724
aia|apb|0.9511968273487112|0.9964476249032767|0.8571428571428571|1.0|lgl|0.9246218677886615|0.9912569077138107|0.782608695652174|1.0|kwf|0.9245656366852649|0.9910882144036208|0.782608695652174|1.0|far|0.9134446481192674|0.9903339443578023|0.75|1.0|nlg|0.8756145229028093|0.9904799323447915|0.6363636363636364|1.0
