target_lang|closest_lang_0|asp_dist_0|closest_lang_1|asp_dist_1|closest_lang_2|asp_dist_2|closest_lang_3|asp_dist_3|closest_lang_4|asp_dist_4
acf|hat|1.0|lat|0.649918889039299|zpu|0.6387498075981108|ztq|0.6387498075981108|zaa|0.6387498075981108
acr|ttc|1.0|agu|1.0|usp|1.0|mca|0.6880834784905226|toc|0.6177884311532988
acu|jiv|0.6490304176859918|kaq|0.6320962004403109|agr|0.6249179044202476|mcd|0.6087945704219361|hub|0.6087945704219361
afr|sus|0.5197059998922267|xon|0.5013153338515103|knf|0.5013153338515103|spp|0.4969215198413488|kdl|0.4936927480385105
agd|kmu|1.0|omw|1.0|tbg|1.0|snp|1.0|kyg|1.0
agg|byr|0.7070490546479773|bbb|0.6826574975798749|geb|0.6826574975798749|msy|0.6826574975798749|ata|0.6826574975798749
agn|sgb|0.7764385834168973|bpr|0.7699465438373843|tbl|0.7699465438373843|bps|0.7699465438373843|mqj|0.7101717605328106
agr|jiv|0.766637259264179|mcd|0.7062821075265902|hub|0.650198287718957|kwi|0.6421277887633251|acu|0.6249179044202476
agu|ttc|1.0|usp|1.0|acr|1.0|mca|0.6880834784905226|toc|0.6177884311532988
aia|far|1.0|kwf|1.0|lgl|1.0|bgt|1.0|nlg|1.0
ake|mbc|0.7039686707566417|pib|0.5930716772039519|tpt|0.5897579742069132|car|0.5825765225993018|cni|0.5722227732305794
alp|lex|0.7592124542932086|kje|0.7592124542932086|rgu|0.7592124542932086|txq|0.7592124542932086|llg|0.7592124542932086
ame|qvm|0.5520000636959456|qxo|0.5520000636959456|inb|0.5486940640684123|qvz|0.5486940640684123|qxn|0.533895817290686
amf|rug|0.503215306053671|lbb|0.503215306053671|rai|0.503215306053671|mkn|0.49869007907561747|nin|0.4974737045404437
amh|ind|0.4803026697560394|zsm|0.45098763797946584|ncu|0.44578746335898956|zlm|0.43498186513769077|deu|0.43229738558101294
amk|rug|0.7214424531492722|lbb|0.7214424531492722|rai|0.7214424531492722|urt|0.7128674137425872|nnq|0.7048327646991335
apb|far|1.0|kwf|1.0|aia|1.0|lgl|1.0|bgt|1.0
apr|mee|1.0|met|1.0|tbc|1.0|mbh|1.0|bzh|0.7951672353008665
