target_lang|closest_lang_0|asp_dist_0|closest_lang_1|asp_dist_1|closest_lang_2|asp_dist_2|closest_lang_3|asp_dist_3|closest_lang_4|asp_dist_4
aaa|atg|1.0|nin|0.6642217132148803|ikk|0.6642217132148803|bus|0.6412790835950983|bnp|0.6319972577007299
aab|nin|0.787505786590539|ikk|0.660878332145029|atg|0.6353836724703068|wmw|0.6168164053772822|kyf|0.6142777338450198
aac|geb|1.0|msy|1.0|ata|1.0|gai|1.0|byr|0.7532482855711504
aad|stp|0.47124120141353865|ycn|0.46632686878876073|atb|0.4662532310482913|nhe|0.4566670800671804|qvs|0.4566670800671804
aae|swh|0.5688366041878958|lat|0.5377379003107059|hun|0.5249189104642864|lvs|0.5233675042115122|qvz|0.5108845103157902
aaf|tam|0.6697296761432547|kfs|0.590409937859957|mjl|0.590409937859957|kfx|0.590409937859957|bfz|0.590409937859957
aag|urt|1.0|rug|0.7214424531492722|rai|0.7214424531492722|lbb|0.7214424531492722|amk|0.7128674137425872
aah|urt|1.0|rug|0.7214424531492722|rai|0.7214424531492722|lbb|0.7214424531492722|amk|0.7128674137425872
aai|mox|1.0|tgo|1.0|mpx|1.0|tte|1.0|kwf|0.6655929948817372
aak|byr|1.0|geb|0.7532482855711504|msy|0.7532482855711504|ata|0.7532482855711504|gai|0.7532482855711504
aal|atg|0.530761973541124|bjv|0.530761973541124|kyq|0.530761973541124|alp|0.5175235088627723|mco|0.5099294039844761
aan|yad|0.7498019404641427|gyr|0.6754896416955619|kyz|0.6754896416955619|sey|0.6754896416955619|urb|0.6754896416955619
aao|xng|0.4500594480824288|nhu|0.4393657394740016|azj|0.43462285588573246|srm|0.42025408095671235|djk|0.42025408095671235
aap|cab|0.6480848812212519|guo|0.6383392353909276|tgp|0.6286281407398654|klv|0.6286281407398654|lww|0.6286281407398654
aaq|tos|0.6887289097543532|toc|0.6887289097543532|stp|0.6045751761141709|lid|0.6001492571168373|qxh|0.5996499825921116
aar|poy|0.4619997447409333|knf|0.4619997447409333|nya|0.4619997447409333|seh|0.4619997447409333|zga|0.45367958180513246
aas|nya|0.6354310441184385|seh|0.6354310441184385|agn|0.6278031838064023|sgb|0.6087945704219361|srm|0.6050741943807786
aat|lat|0.6042216833978536|zty|0.5946300564784119|zar|0.5946300564784119|zpz|0.5946300564784119|zam|0.5946300564784119
