target_lang|closest_lang_0|map_dist_0|closest_lang_1|map_dist_1|closest_lang_2|map_dist_2|closest_lang_3|map_dist_3|closest_lang_4|map_dist_4
aaa|atg|0.001425891101334618|ikk|0.004591033823557374|yor|0.012616427321480467|kdl|0.014969995239232564|ibo|0.015468768505986717
aab|nin|0.0005701245706988306|hau|0.011873576598565413|atg|0.016531012008869632|nhu|0.01834276942718777|ikk|0.019199519019032652
aac|imo|0.013482386232778242|ipi|0.014492915634164619|kyc|0.016456540744115542|med|0.01675351178870614|tcs|0.017274494116025777
aad|agg|0.004778069619442532|urt|0.005052200343463705|ipi|0.009750274049561304|kyc|0.014339679787571407|gai|0.015100594080713929
aae|mlt|0.019538075445262433|grc|0.022940290984503897|lat|0.02456050925757462|mkd|0.026228070036007804|bos|0.027506050113030058
aaf|mal|0.011087035261027589|kan|0.01248683821741961|tam|0.0171883013810383|tel|0.0322846570899259|mar|0.03670699756084747
aag|urt|0.0012784687597835204|agg|0.007581508987030893|ipi|0.010458343756737425|gai|0.012252636331950516|geb|0.012469815798608138
aah|urt|0.0010433530521919748|agg|0.009645757349704537|gai|0.010565552788134942|geb|0.01089311587627662|ipi|0.010900278031774853
aai|bjz|0.002990245994572455|mcq|0.00479257778741197|bbb|0.007589915547324686|mox|0.007861031080858493|tpi|0.01077127662920672
aak|byr|0.0017057079836049534|awb|0.002988600483548|tbg|0.003920013762840472|kyg|0.004283003256239648|kmu|0.004588487260824919
aal|muy|0.006995438889782663|mqb|0.007502793955972477|meq|0.007825578827735906|xed|0.008032354904363702|kyq|0.01924059784699308
aan|urb|0.017191284329844278|gub|0.0227757294112298|txu|0.03091416317343144|srm|0.047947443872772305|djk|0.048876523356474674
aao|gux|0.05434340922438417|mkl|0.05525413404220722|bqc|0.057657852892536776|hau|0.05789888173008394|bqp|0.06076494022974348
aap|txu|0.02373552916409415|urb|0.038658622955832306|gub|0.0411938818007162|kyz|0.04399156171200699|djk|0.045219272822663
aaq|hat|0.1462236866141029|tew|0.16502414087159575|acf|0.16769415158011444|bzj|0.17912477475994668|dgr|0.18184431255617037
aar|amh|0.012662234500778259|mdy|0.04378657216209425|udu|0.04478044739159989|som|0.04510882239573801|amf|0.04913956064569737
aas|ngp|0.010886794763519314|ziw|0.012367207940044521|kam|0.014573428341335164|ruf|0.016275319287918307|cwe|0.016359941810008525
aat|ell|0.001134063304482057|grc|0.010588003775875154|mkd|0.019582458804867746|bul|0.0290813807077075|srp|0.03408251915807956
aau|agg|0.0015738129029161235|urt|0.008395657067466707|ipi|0.01266494289935958|kyc|0.01771761055360086|gai|0.01883509288524056
aaw|mpp|0.0066818524434739245|ded|0.0072272121756201835|bnp|0.007229862322892622|ksr|0.00825004687112001|bmu|0.009014842120977622
aax|agg|0.01138407863511656|ipi|0.013733466475625126|urt|0.01667898001953082|imo|0.01899015559880027|kyc|0.01937949668540497
aaz|mkn|0.001838101773192896|rgu|0.004022328552460415|llg|0.005808910170271127|txq|0.006475174454785611|nfa|0.007859939015117182
aba|yre|0.009989369008113936|kyf|0.015223205604349537|cme|0.025224892284513658|ncu|0.02673999180760426|nko|0.027498300912032193
abb|bss|0.0030642193948842485|ken|0.006718910552046367|nhu|0.012210820772830512|ibo|0.013422989235628922|mcp|0.019120197997616526
abc|sgb|0.0023041023088623868|kne|0.011488116570933377|prf|0.016463733016904694|fil|0.02225387846431079|agn|0.023929694998824108
abd|fil|0.011005467819196884|sgb|0.014023360896886324|prf|0.015920809055413435|kne|0.018845432374765037|cgc|0.026005132581264776
abe|tew|0.15038692308613086|hat|0.15161297371026008|dgr|0.1671574271980977|bzj|0.175624107483736|acf|0.17834662220714226
abf|yka|0.021261068505453423|cgc|0.028493199581407124|agn|0.02851267388147849|tbl|0.034685787604499155|iba|0.035441032161144144
abg|agd|0.0014727188670831557|kmu|0.0016002723015646695|omw|0.0017649370559176287|kyg|0.002259051640871255|snp|0.00231384483554753
abh|tgk|0.010404191952153332|uzn|0.021929537077595675|pst|0.030977449203427543|bhd|0.04454530189190657|dgo|0.0461993640318103
abi|yre|0.009033445197186806|kyf|0.014153609312012715|cme|0.024783985449049355|ncu|0.02751239623496432|nko|0.02844086495793044
abj|cek|0.04963444079928547|zyp|0.05619302985002479|hlt|0.060497860125822187|ory|0.06318625600216608|lao|0.06346337748218628
abk|kat|0.012708900890745336|hye|0.023334390047523412|azj|0.024842103269667265|tur|0.03887303773525177|glk|0.04943452878519571
abl|jav|0.02577652499617259|ind|0.028769113016049057|zlm|0.03727909023288144|zsm|0.046419194207804874|iba|0.05531307632644189
abm|ken|0.0065123322824275996|bss|0.009516583850400627|nhu|0.01073753121048683|ibo|0.012082351427952722|ikk|0.012836212475868232
abn|ibo|0.003615293569896967|ikk|0.008644356739699157|atg|0.013031625412758248|ken|0.016839044050881352|bss|0.01686622060266215
abo|nhu|0.0034013232407850364|ken|0.010327671650682064|bss|0.012875376958246249|nin|0.017440907665027667|mcp|0.019496627946062845
abp|sgb|0.0018394940977445376|kne|0.0083931351514464|prf|0.014554801209447068|fil|0.024784018913064743|agn|0.027151921253403412
abq|kat|0.01518196624520722|azj|0.0258174100987082|hye|0.026654283056044385|tur|0.04491086979183473|glk|0.0514917851174237
abr|ncu|0.012506626142480612|nko|0.015842749699267918|yre|0.017499403929489486|cme|0.018907021992619722|xon|0.01920834237007758
abs|alp|0.00350887590445964|kje|0.02461605964902053|lex|0.024749265035831268|blz|0.03143398500851023|mkn|0.0440352564787121
abt|urt|0.0017932494293071489|ipi|0.009099386605508498|gai|0.009349176560442438|geb|0.0095456888296754|msy|0.01029073554242242
abu|yre|0.014393892022183233|kyf|0.019791812643145654|nko|0.024519923207195995|ncu|0.024690476344618663|cme|0.028083134008715323
abv|arb|0.03471405480170009|pes|0.03926595245868793|sdh|0.04170417918008978|glk|0.06058213261437576|heb|0.08062596492907675
abw|msy|0.003394647507604502|geb|0.004019118131619965|tbc|0.004092459450322616|boj|0.004700371814364623|gai|0.004707820245331576
abx|fil|0.0039198189431865205|ceb|0.02235760707205592|bkd|0.023927174101451922|sgb|0.025217422679644188|cgc|0.025810346140246306
aby|bjz|0.002511707739388542|bbb|0.003580472721477865|mcq|0.0037179581532614876|tpi|0.006720844234339347|mox|0.011757916550567253
abz|mkn|0.011957560755780914|rgu|0.014236290697264727|kje|0.014350332586143072|llg|0.016079377351127567|txq|0.016598287829735187
aca|guo|0.008469023954560718|tuf|0.013833654264144625|cui|0.016563756209797185|guh|0.01950520091349544|tav|0.023115849234066864
acd|ncu|0.004844633673187843|nko|0.0067295036437876|xon|0.008053415121302665|dop|0.008673245560507593|fon|0.009135856922126108
ace|zsm|0.02866458056545243|zlm|0.03731193657088611|khm|0.06459767139448437|lao|0.08933230543948498|iba|0.09130611147504769
ach|lug|0.016204125232516964|spy|0.018549210735767662|amf|0.023686111730710682|sxb|0.026577774342047045|luo|0.027244590023324584
aci|cek|0.04345496990712136|zyp|0.05000911867540156|hlt|0.054347369141259816|ory|0.05922967724477929|lao|0.05924232775753693
ack|cek|0.05121035804756765|zyp|0.05776956724374564|hlt|0.06206836199254839|ory|0.06427628276569383|lao|0.06456032669813812
acl|cek|0.048032940184865085|zyp|0.05459050208384362|hlt|0.05890404133673523|ory|0.06213732009401204|lao|0.062325660599059175
acm|sdh|0.017011441406971944|arb|0.03264573461825077|hye|0.035313905693290744|glk|0.035618723569386175|heb|0.04087886684772948
acn|atb|0.003296050514677454|zyp|0.02501202257123272|hlt|0.025674599686544772|cek|0.028826471360269314|asm|0.03388892872123776
acp|kdl|0.008672768767428785|bqp|0.00986843016796686|bqc|0.012586952519489398|bus|0.013762239669295209|hau|0.015331523519548439
acq|amh|0.03481556240060469|som|0.04915493562519135|mdy|0.06385449603060621|udu|0.0670187648328848|amf|0.06899948723220614
acs|gub|0.05310092110223122|urb|0.06504943789257975|txu|0.06817523867428878|kyz|0.08380290512290052|pab|0.09363691057625992
act|nld|0.005064872484154584|ltz|0.01304770310161761|dan|0.01850226802849915|eng|0.02593645863421745|fra|0.027503306599360736
acv|pao|0.008999239102573657|ood|0.06595000764689422|tew|0.07161696725321708|tac|0.09715235180704129|dgr|0.1234556418821044
acw|arb|0.03768784166364444|heb|0.049735061744277616|amh|0.06164733291300698|sdh|0.06729106939367804|udu|0.07968690582329527
acx|urd|0.044259126025740295|snd|0.055266792751872164|pes|0.05922921093818093|guj|0.06462779035613445|pst|0.072215684624969
acy|heb|0.024240102386867617|tur|0.026092774683113655|ell|0.04783951630712469|grc|0.055696272283852974|bul|0.057167591266313114
acz|dik|0.016864420062610755|udu|0.023452700169615752|mdy|0.04583408258542379|amf|0.046911840535599665|amh|0.05055141410356597
ada|nko|0.007040368426530774|fon|0.010799227052575895|ncu|0.012415413663250125|yor|0.020682063693914943|xon|0.02145860782260117
add|nhu|0.0030526018394481597|ken|0.009828312037206523|bss|0.012478695202403673|nin|0.01703020476290798|mcp|0.019828181535750555
ade|ncu|0.004929758703310605|nko|0.005591468591283091|fon|0.008046973612262897|xon|0.009326877434001435|dop|0.009436865442599352
adf|urd|0.07833216933900211|arb|0.08128747705308129|som|0.0849644697355591|amh|0.08583563916775086|pes|0.0878142718071565
adg|rop|0.024285089681678824|pjt|0.03908157111922119|tcs|0.06940554198374149|tpi|0.08981555920973357|rro|0.09097796893944927
adh|spy|0.0038450884389038638|sxb|0.009347215752732665|luo|0.009547946540850945|lug|0.010481520797675548|kik|0.01597418103446222
adi|asm|0.017434907096668|hlt|0.02509926494586231|atb|0.02774158495315945|zyp|0.028794010562386563|ben|0.029660675997384152
adj|yre|0.010456901097723244|kyf|0.015396939526366692|cme|0.026322474752650885|ncu|0.02803490991594867|nko|0.02863361748705641
adl|asm|0.019837556488443618|hlt|0.027485294837174257|atb|0.02797466593209966|zyp|0.031056469943697103|ben|0.03219186936570434
adn|mkn|0.012259853838351589|rgu|0.014474982633782964|kje|0.01507141895010972|llg|0.016291013860273883|txq|0.016780749287591164
ado|geb|0.001319479303849753|gai|0.001583487377775338|msy|0.0020603741409175144|kyc|0.007367829565920986|med|0.007698837934518977
adq|nko|0.004462847968424584|fon|0.0063040868209351085|ncu|0.010653870640637159|yor|0.016663328904470705|dop|0.017454303499734838
adr|mkn|0.010992848409915833|rgu|0.012365106150584516|llg|0.013755175757223272|txq|0.013987446783419644|nfa|0.014037088032376861
adt|pjt|0.03985461194789163|rop|0.06669500865496852|tcs|0.10763404227274473|tpi|0.12316904141936266|bbb|0.12411080038807067
adw|pad|0.02104089595197665|ese|0.03214891876558951|nab|0.03315969848344975|ign|0.037590707209341774|gyr|0.03766783536669819
adx|atb|0.05823600843474446|asm|0.06425071685329527|hlt|0.07237850087784051|zyp|0.07520169307964535|taj|0.0753282997017018
ady|kat|0.021749656805474804|hye|0.03230839096930763|azj|0.03380060913749488|tur|0.035262203781522644|ukr|0.048055010531177625
adz|bjr|0.0014301786620919096|iou|0.0018308215327004248|tbg|0.001970894726666512|omw|0.002284191517262978|agd|0.002329799325061045
aea|rop|0.027633217321505765|tcs|0.030806123470542787|tpi|0.04725917288231126|bbb|0.04887142649165991|rro|0.04889421654766626
aeb|mlt|0.025181217116278038|lat|0.04673057774016272|ita|0.05305842259093813|cat|0.055162106688540935|oci|0.058609175768460184
aec|heb|0.0384498446934611|arb|0.06773293450411223|ell|0.0797742199520116|tur|0.08086758981986406|sdh|0.08832077171456491
aee|pst|0.017736661690272888|tgk|0.024225227283580206|bhd|0.024612963619956334|dgo|0.025783905204911046|gbk|0.029814662304803494
aek|tnn|0.02499962080921634|tnp|0.025113423203269383|tnk|0.025233354371925146|klv|0.029661293022724054|lww|0.030035998718271856
ael|ken|0.002005372891266391|bss|0.005620704623310085|nhu|0.005775931437832429|ibo|0.015083396442410612|nin|0.01784268163019599
aem|vie|0.016145517308578654|lao|0.019548469439504654|khm|0.031994671960245906|atb|0.052919091044951454|cek|0.06983719061583375
aeq|snd|0.004133988729710303|urd|0.010325108658491452|guj|0.017680539668009032|pst|0.03696476473765053|hin|0.040203551839771125
aer|pjt|0.027305108890392518|rop|0.03196959053842206|tcs|0.07918282304128753|lex|0.0921074236466314|llg|0.09407899691940429
aes|pao|0.03011903337470706|ood|0.087203229463834|tew|0.08906681004787288|dgr|0.10655416061293921|tac|0.11827817717248724
aeu|atb|0.01769892060246962|lao|0.019089102305620855|vie|0.025716976806587667|zyp|0.04029303598168712|cek|0.04125418028765458
aew|geb|0.002369077443056672|gai|0.0025173938241783867|msy|0.0031076176544924104|kyc|0.00720581809996581|med|0.007715702198925594
aey|boj|0.0009420237098231711|tbc|0.00368460336252681|nca|0.0037800372399180208|dah|0.0046837296862022966|gam|0.004692122299359267
aez|mcq|0.002478777659658166|bbb|0.0033991632214078337|tpi|0.004918765367382584|bjz|0.005181547421924945|rro|0.008044173982537508
afb|sdh|0.01571445075616934|arb|0.021558662468625624|pes|0.03141172401180464|glk|0.04010247268974632|hye|0.05568991554422362
afd|ipi|0.003966033178203458|kyc|0.004089409033924949|med|0.005344752715635245|imo|0.006826904182779311|geb|0.007119699259529091
afe|ken|0.00681064412996395|nhu|0.009043625219940225|bss|0.010333852616256379|nin|0.012989468661942163|ikk|0.014742138623209678
afi|msy|0.003303962947721812|geb|0.0035226608106157424|gai|0.004460815552367241|gam|0.004766440551074373|med|0.0048806434620050285
afk|kyc|0.0045755203587410954|geb|0.004985079091357022|med|0.0054997879014582855|gai|0.005547701274538977|msy|0.005549763797564785
afn|ibo|0.0015020956204679367|ikk|0.011846842439851252|bss|0.012089192745245812|ken|0.012669338385202573|atg|0.015893573993328587
afo|nin|0.004806482031596058|atg|0.011429442462542511|ikk|0.013867452034949863|hau|0.016661938090956997|ken|0.017144605918161523
afp|ipi|0.0038381298820069553|kyc|0.005986547211638853|urt|0.0071797776488170305|med|0.007274478511762548|geb|0.00814343057680362
afs|tew|0.038981686829405886|tac|0.0478435557544752|stp|0.05308780124893008|nhw|0.0577362660718225|crn|0.057893155710559224
aft|dik|0.024939909974915155|udu|0.0262589476934365|amh|0.04797012442311632|mdy|0.04971500867799922|amf|0.05163805281291764
afu|nko|0.011062979772896494|ncu|0.015183335017362548|fon|0.015743252944544955|xon|0.02478715083727938|yor|0.025468445812809024
afz|amk|0.009535063814711798|yva|0.011083018160593835|agg|0.018773331488835105|urt|0.0273275434618885|ipi|0.031933289722998505
agb|ibo|0.008780202994769771|ken|0.009060122175968353|ikk|0.009444090258105085|bss|0.011083722469242432|atg|0.011607470429428637
agc|nin|0.006829552386615129|atg|0.009472591985280833|ikk|0.011830658309311723|ken|0.01670916607510377|kdl|0.017968951063586626
age|imo|0.0024970141899548115|kyc|0.003974294197257937|ipi|0.004275843238846494|med|0.004659379682903888|kue|0.007688805080483755
agf|yva|0.021174408539107018|amk|0.022478662447060004|alp|0.023274805093797927|lex|0.03986922855752727|kje|0.04218366698123537
agh|lug|0.040972429326028764|dik|0.042519656053757016|sxb|0.053581384158504504|spy|0.05464883266805013|luo|0.05560788676783063
agj|amh|0.0059134243258804065|mdy|0.030311610284823615|udu|0.03141261885143965|amf|0.03570947878365979|som|0.04406998419492338
agk|fil|0.0076986324771835925|sgb|0.017686462716737836|prf|0.019228556140697035|kne|0.0227036212718615|cgc|0.025785144116065764
agl|ipi|0.004895095747169542|imo|0.010080213766485343|kyc|0.010383092655568206|med|0.011562643848506528|urt|0.012065568185646877
agm|bzh|0.0028086070943243264|byr|0.003275149297876638|tbg|0.0041255588244096435|awb|0.004461732003402587|iou|0.004951051133394589
ago|byr|0.0029202694795072873|awb|0.004137572143182754|tbg|0.005139263072223232|kyg|0.005264909752186022|kmu|0.0056525259857123505
agq|nhu|0.0027116758342494935|ken|0.005312214955296211|bss|0.00843605638128137|nin|0.01673963635943796|ibo|0.01853398809663605
ags|nhu|0.0039428884440488934|ken|0.005357764925382193|bss|0.008796355851117299|nin|0.015613678574155092|ibo|0.017896982430308614
agt|prf|0.005959686050080001|kne|0.008699589035073887|sgb|0.017001296691094146|fil|0.032647566895189446|agn|0.042745846316545835
agv|sgb|0.006206884625182745|kne|0.01299401167189302|prf|0.014027552050562482|fil|0.016997586644015635|cgc|0.024555604196033785
agw|aia|0.004848435535647974|apb|0.007232271422592212|kwd|0.011822924190055926|lgl|0.013074926786439763|kwf|0.013144167485303173
agx|azj|0.007009790060392107|hye|0.015243111973888225|kat|0.015762948525366326|glk|0.02828832462896024|sdh|0.050270515561956525
agy|sgb|0.003196812952387674|kne|0.009446244730804094|prf|0.012271749629434421|fil|0.020746745350631944|agn|0.026820005767782634
agz|fil|0.006590091947579961|sgb|0.018839531289651275|prf|0.020457271677227922|kne|0.023986903768311293|cgc|0.025608459478926236
aha|nko|0.01806875132738753|ncu|0.020452855272383125|yre|0.023218985094085935|fon|0.023698747800452093|kyf|0.02886953209422814
ahb|klv|0.0006065426777896966|upv|0.0032553558534947156|lww|0.003679625015954238|tgp|0.006475418410684855|tnn|0.01808411573202363
ahg|amh|0.014850771506981018|udu|0.025414497193397317|mdy|0.03810998939527339|amf|0.04293404004028898|dik|0.05389914721006805
ahh|agg|0.015888678565756657|ipi|0.017613621528976064|urt|0.021502438656915236|imo|0.022065333167081504|kyc|0.02301492787457451
ahi|yre|0.010650091384682555|kyf|0.01540167377874065|cme|0.026842832208442333|ncu|0.028800570887157678|nko|0.029345280790537408
ahk|lao|0.014614455998900055|atb|0.021058202482306155|vie|0.0251913186280715|zyp|0.040416186861411595|cek|0.040510361098619774
