target_lang|closest_lang_0|map_dist_0|closest_lang_1|map_dist_1|closest_lang_2|map_dist_2|closest_lang_3|map_dist_3|closest_lang_4|map_dist_4
acf|ake|0.0511238951380472|car|0.05835941820475076|hat|0.06030537116812225|mbc|0.06156402864529661|srn|0.062322683945035116
acr|usp|0.0033098590911045432|agu|0.0053707072236741935|caa|0.00616000700771856|kek|0.006176817407353285|jac|0.0077564565477554895
acu|jiv|0.006193285786324822|hub|0.007566348856948257|cbu|0.008016385196318487|qvz|0.008570312184917878|arl|0.013148936303236346
afr|sna|0.026546645829321716|seh|0.02864745573505725|toi|0.02953011623282917|loz|0.03637332191712479|nya|0.042487392876426076
agd|omw|0.0008359276597081865|bjr|0.0010267043011479358|tbg|0.0017272246261028825|nca|0.0022353941137888416|kmu|0.002236989622727192
agg|urt|0.008859174583176177|ipi|0.01411340282396658|kyc|0.019031900325968763|gai|0.019628298858568646|geb|0.019726377926349882
agn|cgc|0.0012442883299378727|fil|0.022881938525663822|yka|0.025673798939903195|sgb|0.026152634605457116|ceb|0.028454976304246586
agr|cbt|0.0063544968839533466|hub|0.0072452972534734|cbu|0.008027407170766828|quf|0.009822950889716641|qvc|0.01015425955653575
agu|usp|0.0022944288564899357|jac|0.0026116462342385804|knj|0.0031773881906000407|ttc|0.004343305398177929|acr|0.0053707072236741935
aia|apb|0.0035523750967233736|kwd|0.0076658810602807225|lgl|0.008743092286189314|kwf|0.008911785596379182|nlg|0.009520067655208526
ake|mbc|0.010796127757570075|wap|0.02062076400339573|car|0.022375254425218535|srn|0.030673053929213417|hns|0.030699695260945653
alp|kje|0.028105640371358553|lex|0.02813340645349952|blz|0.030987743938988902|yva|0.04437524823360865|amk|0.04572185434041881
ame|qxh|0.003855644110266452|cpu|0.003918057152719171|qvn|0.004586793886985476|qub|0.005598708152209601|cjo|0.00620376216855003
amf|mdy|0.005398599971382114|spy|0.024648449055112202|udu|0.02592607719233255|kik|0.029623836779551698|lug|0.03433925469200205
amh|udu|0.03231732285429377|mdy|0.03494916961897274|amf|0.04032661173477921|som|0.04920507293460932|dik|0.06488065829948952
amk|yva|0.0015827039924621554|agg|0.02788446125082983|urt|0.03609187116083684|ipi|0.04137681965469771|alp|0.04572185434041881
apb|aia|0.0035523750967233736|kwd|0.0045965311480884044|lgl|0.005887318112610826|kwf|0.0059233522098941635|far|0.006512263891898271
apr|met|0.0035800215834286245|dah|0.004023772641460006|iou|0.006046743652926183|nca|0.006306869346484899|mpp|0.0065522347929742085
arb|sdh|0.03035852939060325|heb|0.046198614620794866|pes|0.052948117466245406|glk|0.058058997647369395|hye|0.06695823929134335
arl|qvz|0.0054538160191209845|huu|0.008212716883662877|sey|0.008742095613073785|hto|0.011090290204657448|acu|0.013148936303236346
asm|ben|0.013273924825999206|hlt|0.017223422403673954|taj|0.022032915932724006|zyp|0.022120624769670694|suz|0.02630134239969947
ast|glg|0.006303868658338297|por|0.016426795496404058|spa|0.023241525380544113|cat|0.03191462525208698|fra|0.044162554906487
ata|mee|0.0018898611655929441|mbh|0.002696286185276348|bnp|0.005291078914225552|lbb|0.010915782139279516|rai|0.010994429834218538
atb|zyp|0.02762132928695716|hlt|0.028604322814376082|cek|0.030992392100076576|lao|0.03562138003108588|asm|0.037184630648993355
atg|ikk|0.004394915317818289|yor|0.01402479598846426|ibo|0.015067590621741907|kdl|0.015393540004973612|nin|0.015962829619650867
awb|byr|0.0014321286322450607|tbg|0.0015592227378490068|kyg|0.0017010363285354262|kmu|0.0017149012626458844|omw|0.0019131565726137037
azg|mio|0.0012214712302775924|mih|0.001280315790837884|mxt|0.0019500824107308917|mpm|0.003170210041820207|trc|0.003525602064234248
azj|hye|0.008274300134709126|kat|0.012232606549255644|glk|0.0258137318400062|sdh|0.044829771080408434|pes|0.05410985715228634
azz|tos|0.0012812177014088124|ncj|0.0022281702576753743|toc|0.002258252882844541|tee|0.003239456985550702|tpt|0.004509486114505753
bao|sri|0.0007397048046922495|tue|0.0008375031152505282|tav|0.0024770292172246263|myy|0.0025300642495200087|cbc|0.003178507017083694
bba|bus|0.004452774580113553|bqc|0.006300297809840244|dop|0.0073063587113263995|mkl|0.007815148600179183|bqp|0.00784925925034916
bbb|tpi|0.003280608802204472|mcq|0.003317116036194719|bjz|0.004744624220262375|rro|0.008636176068681155|mox|0.01491504932893751
