target_lang|closest_lang_0|fixed_dist_0|closest_lang_1|fixed_dist_1|closest_lang_2|fixed_dist_2|closest_lang_3|fixed_dist_3|closest_lang_4|fixed_dist_4
acf|amf|0.5|kwd|0.5|tav|0.5|bel|0.5|kor|0.5
acr|mio|0.5|por|0.5|toc|0.5|ote|0.5|qvh|0.5
acu|geb|0.5|sey|0.5|ame|0.5|tbz|0.5|tnp|0.5
afr|aia|0.5|bmu|0.5|urb|0.5|mar|0.5|prf|0.5
agd|zaw|0.5|rug|0.5|txq|0.5|arb|0.5|nya|0.5
agg|nya|0.5|tbc|0.5|vid|0.5|cot|0.5|gng|0.5
agn|uzn|0.5|zpo|0.5|cbt|0.5|huu|0.5|swh|0.5
agr|ziw|0.5|tnp|0.5|pls|0.5|kat|0.5|bba|0.5
agu|nko|0.5|mcb|0.5|fon|0.5|qwh|0.5|pst|0.5
aia|tbc|0.5|djk|0.5|pad|0.5|gng|0.5|kan|0.5
ake|ura|0.5|hat|0.5|shp|0.5|eng|0.5|bps|0.5
alp|tuf|0.5|mbj|0.5|rus|0.5|tfr|0.5|nas|0.5
ame|mxb|0.5|msy|0.5|mbt|0.5|bel|0.5|por|0.5
amf|obo|0.5|kdl|0.5|deu|0.5|amk|0.5|huu|0.5
amh|kdc|0.5|mee|0.5|kea|0.5|tpt|0.5|lao|0.5
amk|gam|0.5|fil|0.5|gum|0.5|chv|0.5|cpb|0.5
apb|bqp|0.5|hin|0.5|muy|0.5|bmu|0.5|mpm|0.5
apr|bul|0.5|spy|0.5|ces|0.5|wol|0.5|zpc|0.5
arb|soy|0.5|ztq|0.5|heb|0.5|fra|0.5|bqp|0.5
arl|rro|0.5|kwi|0.5|cab|0.5|cco|0.5|knf|0.5
asm|taj|0.5|cym|0.5|zab|0.5|tbl|0.5|emp|0.5
ast|slk|0.5|zty|0.5|yal|0.5|mcb|0.5|wol|0.5
ata|bps|0.5|msy|0.5|zai|0.5|knj|0.5|myk|0.5
atb|usp|0.5|mxq|0.5|pol|0.5|tpi|0.5|swe|0.5
atg|srm|0.5|acr|0.5|mxt|0.5|mjl|0.5|arl|0.5
awb|mil|0.5|kvn|0.5|rus|0.5|mop|0.5|mcq|0.5
azg|ibo|0.5|gum|0.5|deu|0.5|sdh|0.5|zao|0.5
azj|srn|0.5|nfa|0.5|tbz|0.5|ukr|0.5|hvn|0.5
azz|ukr|0.5|boj|0.5|kaz|0.5|hvn|0.5|mxt|0.5
bao|bpr|0.5|muy|0.5|gvc|0.5|txu|0.5|djk|0.5
bba|klv|0.5|agu|0.5|srn|0.5|lin|0.5|prf|0.5
bbb|ake|0.5|gym|0.5|zaa|0.5|hlt|0.5|bgt|0.5
bel|nhy|0.5|kfx|0.5|bfz|0.5|kik|0.5|sxb|0.5
bem|tfr|0.5|srp|0.5|sja|0.5|tuo|0.5|mxt|0.5
ben|urd|0.5|car|0.5|hub|0.5|pan|0.5|zpm|0.5
bfz|tac|0.5|isl|0.5|daa|0.5|bel|0.5|maq|0.5
bgc|cpu|0.5|agr|0.5|ote|0.5|fin|0.5|snd|0.5
bgt|huv|0.5|acu|0.5|luo|0.5|amk|0.5|rro|0.5
bhd|dan|0.5|mxb|0.5|tur|0.5|kmu|0.5|otq|0.5
bjr|tam|0.5|cwe|0.5|azz|0.5|caa|0.5|far|0.5
bjv|rop|0.5|tel|0.5|gbk|0.5|kfx|0.5|kyz|0.5
bjz|huv|0.5|srn|0.5|yal|0.5|txq|0.5|ben|0.5
bkd|zpu|0.5|sna|0.5|cbv|0.5|kor|0.5|chf|0.5
blz|hto|0.5|bqp|0.5|noa|0.5|deu|0.5|mio|0.5
bmr|tgp|0.5|cpb|0.5|apr|0.5|ngp|0.5|cot|0.5
bmu|awb|0.5|grc|0.5|mox|0.5|ast|0.5|cbs|0.5
bnp|bss|0.5|bbb|0.5|pad|0.5|bem|0.5|ura|0.5
boa|ukr|0.5|jiv|0.5|pan|0.5|tbg|0.5|ken|0.5
boj|ipi|0.5|kaz|0.5|hin|0.5|srn|0.5|uzn|0.5
bos|imo|0.5|eng|0.5|qwh|0.5|mpm|0.5|huv|0.5
box|zty|0.5|pol|0.5|yva|0.5|bem|0.5|ind|0.5
bpr|mbj|0.5|mit|0.5|knf|0.5|cuc|0.5|ncu|0.5
bps|alp|0.5|mlt|0.5|yre|0.5|gym|0.5|cbr|0.5
bqc|pst|0.5|kam|0.5|kue|0.5|tue|0.5|blz|0.5
bqp|ote|0.5|pab|0.5|lex|0.5|txq|0.5|ttc|0.5
bss|por|0.5|shp|0.5|mee|0.5|zpl|0.5|ekk|0.5
bul|slv|0.5|tnp|0.5|cbs|0.5|maz|0.5|bjr|0.5
bus|cwe|0.5|pab|0.5|mop|0.5|kaq|0.5|vie|0.5
byr|spa|0.5|qvh|0.5|huu|0.5|tam|0.5|nab|0.5
bzh|bhd|0.5|chv|0.5|toi|0.5|som|0.5|qub|0.5
bzj|kne|0.5|cbi|0.5|mbc|0.5|agn|0.5|snn|0.5
caa|toi|0.5|mto|0.5|bzj|0.5|tte|0.5|geb|0.5
cab|bmr|0.5|tca|0.5|ign|0.5|blz|0.5|rus|0.5
cap|zpl|0.5|ikk|0.5|atg|0.5|txu|0.5|dop|0.5
car|cpb|0.5|sna|0.5|bjv|0.5|qvs|0.5|kwf|0.5
cat|gux|0.5|cbc|0.5|cme|0.5|tcs|0.5|heb|0.5
cax|boj|0.5|mkn|0.5|cco|0.5|hto|0.5|vmy|0.5
cbc|cap|0.5|vmy|0.5|qvm|0.5|zpm|0.5|kyg|0.5
cbi|mbt|0.5|zpu|0.5|mgh|0.5|bel|0.5|kfx|0.5
cbr|udu|0.5|tca|0.5|deu|0.5|hrv|0.5|nch|0.5
