target_lang|closest_lang_0|tree_dist_0|closest_lang_1|tree_dist_1|closest_lang_2|tree_dist_2|closest_lang_3|tree_dist_3|closest_lang_4|tree_dist_4
acf|hat|0.08108108108108103|fra|0.1351351351351351|cat|0.3125|oci|0.33333333333333337|ast|0.3529411764705882
acr|usp|0.2857142857142857|kek|0.2857142857142857|ttc|0.4666666666666667|agu|0.4666666666666667|mop|0.5714285714285714
acu|jiv|0.25|hub|0.25|cbu|0.6666666666666667|con|0.6666666666666667|ata|0.6666666666666667
afr|nld|0.13043478260869568|ltz|0.4782608695652174|dan|0.5|deu|0.52|eng|0.52
agd|awb|0.2857142857142857|bjr|0.3846153846153846|omw|0.3846153846153846|tbg|0.3846153846153846|snp|0.5714285714285714
agg|cbu|0.6|con|0.6|ata|0.6|ura|0.6|guo|0.6666666666666667
agn|jvn|0.4545454545454546|tbl|0.4545454545454546|jav|0.4545454545454546|yka|0.5|ceb|0.5
agr|cbu|0.6|con|0.6|ata|0.6|ura|0.6|guo|0.6666666666666667
agu|ttc|0.2857142857142857|usp|0.3846153846153846|kek|0.3846153846153846|acr|0.4666666666666667|mop|0.5384615384615384
aia|apb|0.1428571428571429|kwf|0.21739130434782605|lgl|0.21739130434782605|kwd|0.21739130434782605|far|0.25
ake|mbc|0.23076923076923073|cbu|0.7777777777777778|con|0.7777777777777778|ata|0.7777777777777778|ura|0.7777777777777778
alp|lex|0.5652173913043479|kje|0.5652173913043479|hvn|0.5652173913043479|nfa|0.5652173913043479|txq|0.5833333333333333
ame|not|0.2727272727272727|cot|0.3846153846153846|mcb|0.3846153846153846|cni|0.4285714285714286|cjo|0.4666666666666667
amf|cbu|0.7142857142857143|con|0.7142857142857143|ata|0.7142857142857143|ura|0.7142857142857143|guo|0.75
amh|arb|0.5294117647058824|heb|0.5555555555555556|mlt|0.5555555555555556|cbu|0.8181818181818181|con|0.8181818181818181
amk|apb|0.5454545454545454|mpx|0.5652173913043479|tnk|0.5652173913043479|aia|0.5652173913043479|tgo|0.5652173913043479
apb|aia|0.1428571428571429|kwf|0.18181818181818177|lgl|0.18181818181818177|kwd|0.18181818181818177|far|0.21739130434782605
apr|met|0.16666666666666663|mee|0.19999999999999996|tbc|0.23076923076923073|mbh|0.23076923076923073|bzh|0.36
arb|mlt|0.17647058823529416|heb|0.4117647058823529|amh|0.5294117647058824|cbu|0.8|con|0.8
arl|cbu|0.7142857142857143|con|0.7142857142857143|ata|0.7142857142857143|ura|0.7142857142857143|guo|0.75
asm|ben|0.23809523809523814|ory|0.30000000000000004|mjl|0.4736842105263158|pan|0.5|kfx|0.5
ast|spa|0.1333333333333333|glg|0.1333333333333333|cat|0.1428571428571429|oci|0.1724137931034483|kea|0.1875
ata|cbu|0.5|con|0.5|ura|0.5|guo|0.6|yad|0.6
atb|cbu|0.8|con|0.8|ata|0.8|ura|0.8|guo|0.8181818181818181
atg|ikk|0.5294117647058824|ibo|0.5294117647058824|ken|0.5555555555555556|mkl|0.5789473684210527|nin|0.5789473684210527
awb|agd|0.2857142857142857|bjr|0.3846153846153846|omw|0.3846153846153846|tbg|0.3846153846153846|snp|0.5714285714285714
azg|trc|0.3846153846153846|mxb|0.4285714285714286|mit|0.4666666666666667|xtm|0.4666666666666667|mpm|0.4666666666666667
azj|tur|0.33333333333333337|kaz|0.5714285714285714|uzn|0.625|cbu|0.8|con|0.8
azz|ngu|0.1428571428571429|nhy|0.1428571428571429|nhe|0.19999999999999996|nhw|0.19999999999999996|nch|0.19999999999999996
bao|tav|0.1428571428571429|tuo|0.23076923076923073|gvc|0.4285714285714286|pir|0.4285714285714286|tue|0.4666666666666667
bba|cme|0.17647058823529416|dop|0.30000000000000004|box|0.368421052631579|soy|0.4285714285714286|myk|0.4666666666666667
bbb|mcq|0.33333333333333337|cbu|0.7142857142857143|con|0.7142857142857143|ata|0.7142857142857143|ura|0.7142857142857143
bel|rus|0.1428571428571429|ukr|0.19999999999999996|slv|0.33333333333333337|slk|0.33333333333333337|pol|0.33333333333333337
bem|poy|0.30434782608695654|ndj|0.30434782608695654|seh|0.36|kde|0.36|kam|0.36
ben|asm|0.23809523809523814|ory|0.26315789473684215|mjl|0.4444444444444444|pan|0.4736842105263158|kfx|0.4736842105263158
bfz|kfx|0.11111111111111116|mjl|0.17647058823529416|gbk|0.26315789473684215|xnr|0.26315789473684215|dgo|0.26315789473684215
bgc|hin|0.1578947368421053|urd|0.1578947368421053|guj|0.26315789473684215|mjl|0.4117647058823529|pan|0.4444444444444444
bgt|nlg|0.09090909090909094|apb|0.33333333333333337|aia|0.36363636363636365|kwf|0.3913043478260869|lgl|0.3913043478260869
bhd|gbk|0.1428571428571429|kfs|0.1428571428571429|xnr|0.23809523809523814|dgo|0.23809523809523814|mjl|0.26315789473684215
