target_lang|closest_lang_0|tree_dist_0|closest_lang_1|tree_dist_1|closest_lang_2|tree_dist_2|closest_lang_3|tree_dist_3|closest_lang_4|tree_dist_4
aaa|atg|0.368421052631579|ikk|0.5|ibo|0.5|ken|0.5294117647058824|mkl|0.5555555555555556
aab|nin|0.4444444444444444|ikk|0.5|ibo|0.5|ken|0.5294117647058824|mkl|0.5555555555555556
aac|cbu|0.7142857142857143|con|0.7142857142857143|ata|0.7142857142857143|ura|0.7142857142857143|guo|0.75
aad|cbu|0.6|con|0.6|ata|0.6|ura|0.6|guo|0.6666666666666667
aae|lit|0.5|hye|0.5|grc|0.5384615384615384|rus|0.5384615384615384|bel|0.5384615384615384
aaf|mal|0.08333333333333337|tam|0.19999999999999996|kan|0.5238095238095238|tel|0.6666666666666667|cbu|0.8571428571428572
aag|cbu|0.7142857142857143|con|0.7142857142857143|ata|0.7142857142857143|ura|0.7142857142857143|guo|0.75
aah|urt|0.4545454545454546|cbu|0.7777777777777778|con|0.7777777777777778|ata|0.7777777777777778|ura|0.7777777777777778
aai|mox|0.19999999999999996|tte|0.25|mpx|0.33333333333333337|tgo|0.33333333333333337|rro|0.3846153846153846
aak|byr|0.4|cbu|0.7142857142857143|con|0.7142857142857143|ata|0.7142857142857143|ura|0.7142857142857143
aal|xed|0.375|meq|0.4444444444444444|muy|0.4444444444444444|mqb|0.4666666666666667|hau|0.625
aan|urb|0.375|gyr|0.375|kyz|0.375|gub|0.4117647058823529|cbu|0.8
aao|mlt|0.11111111111111116|arb|0.17647058823529416|heb|0.4444444444444444|amh|0.5555555555555556|cbu|0.8181818181818181
aap|cbu|0.7142857142857143|con|0.7142857142857143|ata|0.7142857142857143|ura|0.7142857142857143|guo|0.75
aaq|cbu|0.7777777777777778|con|0.7777777777777778|ata|0.7777777777777778|ura|0.7777777777777778|guo|0.8
aar|som|0.4117647058823529|cbu|0.7777777777777778|con|0.7777777777777778|ata|0.7777777777777778|ura|0.7777777777777778
aas|som|0.6|cbu|0.7142857142857143|con|0.7142857142857143|ata|0.7142857142857143|ura|0.7142857142857143
aat|lit|0.5|hye|0.5|grc|0.5384615384615384|rus|0.5384615384615384|bel|0.5384615384615384
aau|cbu|0.6|con|0.6|ata|0.6|ura|0.6|guo|0.6666666666666667
aaw|mbh|0.1724137931034483|met|0.2592592592592593|apr|0.2592592592592593|mee|0.2857142857142857|tbc|0.31034482758620685
aax|cbu|0.8181818181818181|con|0.8181818181818181|ata|0.8181818181818181|ura|0.8181818181818181|guo|0.8333333333333334
aaz|rgu|0.11111111111111116|txq|0.28|llg|0.28|lex|0.5|kje|0.5
aba|nko|0.4444444444444444|fon|0.4666666666666667|ncu|0.5|soy|0.5384615384615384|myk|0.5714285714285714
abb|poy|0.36363636363636365|ndj|0.36363636363636365|bss|0.3846153846153846|mcp|0.3846153846153846|ken|0.4
abc|sgb|0.23076923076923073|agn|0.4545454545454546|jvn|0.5|tbl|0.5|jav|0.5
abd|ceb|0.2857142857142857|fil|0.33333333333333337|cgc|0.4285714285714286|bkd|0.5|obo|0.5
abe|cbu|0.7777777777777778|con|0.7777777777777778|ata|0.7777777777777778|ura|0.7777777777777778|guo|0.8
abf|agn|0.5384615384615384|jvn|0.5714285714285714|tbl|0.5714285714285714|jav|0.5714285714285714|yka|0.6
abg|kmu|0.17647058823529416|kyg|0.17647058823529416|snp|0.25|bjr|0.6|omw|0.6
abh|arb|0.2222222222222222|mlt|0.26315789473684215|heb|0.4736842105263158|amh|0.5789473684210527|cbu|0.8333333333333334
abi|nko|0.4444444444444444|fon|0.4666666666666667|ncu|0.5|soy|0.5384615384615384|myk|0.5714285714285714
abj|cbu|0.6666666666666667|con|0.6666666666666667|ata|0.6666666666666667|ura|0.6666666666666667|guo|0.7142857142857143
abk|cbu|0.6666666666666667|con|0.6666666666666667|ata|0.6666666666666667|ura|0.6666666666666667|guo|0.7142857142857143
abl|agn|0.4|jvn|0.4545454545454546|tbl|0.4545454545454546|jav|0.4545454545454546|yka|0.5
abm|ken|0.4285714285714286|poy|0.4782608695652174|ndj|0.4782608695652174|nhu|0.5|seh|0.52
abn|ikk|0.4666666666666667|ibo|0.4666666666666667|ken|0.5|mkl|0.5294117647058824|nin|0.5294117647058824
abo|ken|0.2941176470588235|poy|0.368421052631579|ndj|0.368421052631579|nhu|0.4|seh|0.4285714285714286
abp|sgb|0.2857142857142857|agn|0.5|jvn|0.5384615384615384|tbl|0.5384615384615384|jav|0.5384615384615384
abq|cbu|0.6666666666666667|con|0.6666666666666667|ata|0.6666666666666667|ura|0.6666666666666667|guo|0.7142857142857143
abr|nko|0.33333333333333337|ncu|0.3913043478260869|fon|0.5555555555555556|soy|0.625|myk|0.6470588235294117
abs|mkn|0.1578947368421053|ind|0.368421052631579|zsm|0.368421052631579|zlm|0.368421052631579|iba|0.4
abt|cbu|0.7142857142857143|con|0.7142857142857143|ata|0.7142857142857143|ura|0.7142857142857143|guo|0.75
abu|nko|0.30000000000000004|ncu|0.36363636363636365|fon|0.5294117647058824|soy|0.6|myk|0.625
abv|arb|0.17647058823529416|mlt|0.2222222222222222|heb|0.4444444444444444|amh|0.5555555555555556|cbu|0.8181818181818181
abw|boj|0.5|cbu|0.75|con|0.75|ata|0.75|ura|0.75
abx|yka|0.1428571428571429|agn|0.5|jvn|0.5384615384615384|tbl|0.5384615384615384|jav|0.5384615384615384
aby|cbu|0.6666666666666667|con|0.6666666666666667|ata|0.6666666666666667|ura|0.6666666666666667|guo|0.7142857142857143
abz|cbu|0.7142857142857143|con|0.7142857142857143|ata|0.7142857142857143|ura|0.7142857142857143|guo|0.75
aca|ycn|0.3846153846153846|cbu|0.7777777777777778|con|0.7777777777777778|ata|0.7777777777777778|ura|0.7777777777777778
acd|ncu|0.2592592592592593|nko|0.28|fon|0.6363636363636364|soy|0.7|myk|0.7142857142857143
ace|mkn|0.375|ind|0.375|zsm|0.375|zlm|0.375|iba|0.4117647058823529
ach|luo|0.2857142857142857|dik|0.5|cbu|0.75|con|0.75|ata|0.75
aci|cbu|0.75|con|0.75|ata|0.75|ura|0.75|guo|0.7777777777777778
ack|cbu|0.75|con|0.75|ata|0.75|ura|0.75|guo|0.7777777777777778
acl|cbu|0.6666666666666667|con|0.6666666666666667|ata|0.6666666666666667|ura|0.6666666666666667|guo|0.7142857142857143
acm|arb|0.17647058823529416|mlt|0.2222222222222222|heb|0.4444444444444444|amh|0.5555555555555556|cbu|0.8181818181818181
acn|atb|0.17647058823529416|cbu|0.8181818181818181|con|0.8181818181818181|ata|0.8181818181818181|ura|0.8181818181818181
acp|kdl|0.4545454545454546|ikk|0.5789473684210527|ibo|0.5789473684210527|ken|0.6|mkl|0.6190476190476191
acq|arb|0.17647058823529416|mlt|0.2222222222222222|heb|0.4444444444444444|amh|0.5555555555555556|cbu|0.8181818181818181
acs|txu|0.4545454545454546|cbu|0.7142857142857143|con|0.7142857142857143|ata|0.7142857142857143|ura|0.7142857142857143
act|eng|0.46153846153846156|rop|0.4814814814814815|nld|0.5|ltz|0.5|tcs|0.5
acv|cbu|0.6|con|0.6|ata|0.6|ura|0.6|guo|0.6666666666666667
acw|arb|0.17647058823529416|mlt|0.2222222222222222|heb|0.4444444444444444|amh|0.5555555555555556|cbu|0.8181818181818181
acx|arb|0.17647058823529416|mlt|0.2222222222222222|heb|0.4444444444444444|amh|0.5555555555555556|cbu|0.8181818181818181
acy|arb|0.17647058823529416|mlt|0.2222222222222222|heb|0.4444444444444444|amh|0.5555555555555556|cbu|0.8181818181818181
acz|cbu|0.7142857142857143|con|0.7142857142857143|ata|0.7142857142857143|ura|0.7142857142857143|guo|0.75
ada|fon|0.4285714285714286|soy|0.5|nko|0.5294117647058824|myk|0.5384615384615384|ikk|0.5384615384615384
add|ken|0.368421052631579|poy|0.4285714285714286|ndj|0.4285714285714286|nhu|0.4545454545454546|seh|0.4782608695652174
ade|fon|0.4666666666666667|soy|0.5384615384615384|nko|0.5555555555555556|myk|0.5714285714285714|ikk|0.5714285714285714
adf|arb|0.17647058823529416|mlt|0.2222222222222222|heb|0.4444444444444444|amh|0.5555555555555556|cbu|0.8181818181818181
adg|cbu|0.75|con|0.75|ata|0.75|ura|0.75|guo|0.7777777777777778
adh|luo|0.125|dik|0.5714285714285714|cbu|0.8|con|0.8|ata|0.8
adi|cbu|0.75|con|0.75|ata|0.75|ura|0.75|guo|0.7777777777777778
adj|nko|0.4444444444444444|fon|0.4666666666666667|ncu|0.5|soy|0.5384615384615384|myk|0.5714285714285714
adl|cbu|0.8|con|0.8|ata|0.8|ura|0.8|guo|0.8181818181818181
adn|cbu|0.8|con|0.8|ata|0.8|ura|0.8|guo|0.8181818181818181
ado|geb|0.4545454545454546|gai|0.4545454545454546|msy|0.5|cbu|0.7142857142857143|con|0.7142857142857143
adq|fon|0.375|soy|0.5714285714285714|nko|0.5789473684210527|myk|0.6|ikk|0.6
adr|hvn|0.4|nfa|0.4|lex|0.5|kje|0.5|txq|0.5238095238095238
adt|cbu|0.7777777777777778|con|0.7777777777777778|ata|0.7777777777777778|ura|0.7777777777777778|guo|0.8
adw|kyz|0.17647058823529416|urb|0.4117647058823529|gyr|0.4117647058823529|gub|0.4444444444444444|cbu|0.8181818181818181
adx|taj|0.6|cbu|0.7777777777777778|con|0.7777777777777778|ata|0.7777777777777778|ura|0.7777777777777778
ady|cbu|0.6666666666666667|con|0.6666666666666667|ata|0.6666666666666667|ura|0.6666666666666667|guo|0.7142857142857143
adz|bzh|0.28|met|0.33333333333333337|apr|0.33333333333333337|mee|0.36|tbc|0.3846153846153846
aea|cbu|0.7777777777777778|con|0.7777777777777778|ata|0.7777777777777778|ura|0.7777777777777778|guo|0.8
aeb|mlt|0.11111111111111116|arb|0.17647058823529416|heb|0.4444444444444444|amh|0.5555555555555556|cbu|0.8181818181818181
aec|arb|0.2222222222222222|mlt|0.26315789473684215|heb|0.4736842105263158|amh|0.5789473684210527|cbu|0.8333333333333334
aee|pan|0.33333333333333337|snd|0.33333333333333337|mjl|0.4117647058823529|kfx|0.4444444444444444|bgc|0.4444444444444444
aek|tnk|0.4814814814814815|tnp|0.5|tnn|0.5|apb|0.5384615384615384|mpx|0.5555555555555556
ael|ken|0.25|poy|0.33333333333333337|ndj|0.33333333333333337|nhu|0.368421052631579|seh|0.4
aem|vie|0.4545454545454546|cbu|0.75|con|0.75|ata|0.75|ura|0.75
aeq|guj|0.1428571428571429|bgc|0.30000000000000004|hin|0.33333333333333337|urd|0.33333333333333337|mjl|0.4736842105263158
aer|cbu|0.75|con|0.75|ata|0.75|ura|0.75|guo|0.7777777777777778
aes|cbu|0.5|con|0.5|ata|0.5|ura|0.5|guo|0.6
aeu|atb|0.5789473684210527|cbu|0.8461538461538461|con|0.8461538461538461|ata|0.8461538461538461|ura|0.8461538461538461
aew|cbu|0.6666666666666667|con|0.6666666666666667|ata|0.6666666666666667|ura|0.6666666666666667|guo|0.7142857142857143
aey|boj|0.5384615384615384|cbu|0.7777777777777778|con|0.7777777777777778|ata|0.7777777777777778|ura|0.7777777777777778
aez|bjz|0.2941176470588235|cbu|0.8|con|0.8|ata|0.8|ura|0.8
afb|arb|0.17647058823529416|mlt|0.2222222222222222|heb|0.4444444444444444|amh|0.5555555555555556|cbu|0.8181818181818181
afd|cbu|0.6|con|0.6|ata|0.6|ura|0.6|guo|0.6666666666666667
afe|ken|0.2941176470588235|poy|0.368421052631579|ndj|0.368421052631579|nhu|0.4|seh|0.4285714285714286
afi|geb|0.5|gai|0.5|msy|0.5384615384615384|cbu|0.75|con|0.75
afk|cbu|0.6|con|0.6|ata|0.6|ura|0.6|guo|0.6666666666666667
afn|cbu|0.6|con|0.6|ata|0.6|ura|0.6|guo|0.6666666666666667
afo|nin|0.33333333333333337|ikk|0.3846153846153846|ibo|0.3846153846153846|ken|0.4285714285714286|mkl|0.4666666666666667
afp|cbu|0.6|con|0.6|ata|0.6|ura|0.6|guo|0.6666666666666667
afs|srm|0.21212121212121215|bzj|0.2222222222222222|eng|0.22580645161290325|srn|0.23529411764705888|rop|0.25
aft|cbu|0.6|con|0.6|ata|0.6|ura|0.6|guo|0.6666666666666667
afu|nko|0.23809523809523814|ncu|0.30434782608695654|fon|0.5555555555555556|soy|0.625|myk|0.6470588235294117
afz|cbu|0.75|con|0.75|ata|0.75|ura|0.75|guo|0.7777777777777778
agb|ikk|0.5555555555555556|ibo|0.5555555555555556|ken|0.5789473684210527|mkl|0.6|nin|0.6
agc|ikk|0.5|ibo|0.5|ken|0.5294117647058824|mkl|0.5555555555555556|nin|0.5555555555555556
age|ipi|0.5384615384615384|kyc|0.5384615384615384|cbu|0.8|con|0.8|ata|0.8
agf|amk|0.33333333333333337|apb|0.4736842105263158|mpx|0.5|tnk|0.5|aia|0.5
agh|lin|0.38888888888888884|umb|0.4666666666666667|poy|0.5|ndj|0.5|seh|0.5333333333333333
agj|amh|0.11111111111111116|arb|0.5294117647058824|heb|0.5555555555555556|mlt|0.5555555555555556|cbu|0.8181818181818181
agk|ceb|0.33333333333333337|fil|0.375|cgc|0.4666666666666667|bkd|0.5294117647058824|obo|0.5294117647058824
agl|cbu|0.6|con|0.6|ata|0.6|ura|0.6|guo|0.6666666666666667
agm|cbu|0.6|con|0.6|ata|0.6|ura|0.6|guo|0.6666666666666667
ago|byr|0.4545454545454546|cbu|0.75|con|0.75|ata|0.75|ura|0.75
agq|ken|0.4545454545454546|poy|0.5|ndj|0.5|nhu|0.52|seh|0.5384615384615384
ags|ken|0.25|poy|0.33333333333333337|ndj|0.33333333333333337|nhu|0.368421052631579|seh|0.4
agt|prf|0.5|agn|0.5384615384615384|jvn|0.5714285714285714|tbl|0.5714285714285714|jav|0.5714285714285714
agv|sgb|0.33333333333333337|agn|0.4|jvn|0.4545454545454546|tbl|0.4545454545454546|jav|0.4545454545454546
agw|aia|0.09090909090909094|apb|0.1428571428571429|kwf|0.21739130434782605|lgl|0.21739130434782605|kwd|0.21739130434782605
agx|cbu|0.8181818181818181|con|0.8181818181818181|ata|0.8181818181818181|ura|0.8181818181818181|guo|0.8333333333333334
agy|kne|0.4117647058823529|prf|0.4285714285714286|agn|0.4545454545454546|jvn|0.5|tbl|0.5
agz|ceb|0.33333333333333337|fil|0.375|cgc|0.4666666666666667|bkd|0.5294117647058824|obo|0.5294117647058824
aha|nko|0.36363636363636365|ncu|0.41666666666666663|fon|0.5789473684210527|soy|0.6470588235294117|myk|0.6666666666666667
ahb|klv|0.11111111111111116|upv|0.19999999999999996|lww|0.3846153846153846|tgp|0.4814814814814815|apb|0.5
ahg|som|0.625|cbu|0.75|con|0.75|ata|0.75|ura|0.75
ahh|cbu|0.8181818181818181|con|0.8181818181818181|ata|0.8181818181818181|ura|0.8181818181818181|guo|0.8333333333333334
ahi|cbu|0.6666666666666667|con|0.6666666666666667|ata|0.6666666666666667|ura|0.6666666666666667|guo|0.7142857142857143
ahk|atb|0.5789473684210527|cbu|0.8461538461538461|con|0.8461538461538461|ata|0.8461538461538461|ura|0.8461538461538461
ahl|fon|0.4666666666666667|soy|0.5384615384615384|nko|0.5555555555555556|myk|0.5714285714285714|ikk|0.5714285714285714
ahm|cbu|0.6666666666666667|con|0.6666666666666667|ata|0.6666666666666667|ura|0.6666666666666667|guo|0.7142857142857143
ahn|mkl|0.375|ikk|0.4285714285714286|ibo|0.4285714285714286|ken|0.4666666666666667|yor|0.5
aho|lao|0.21739130434782605|cbu|0.8461538461538461|con|0.8461538461538461|ata|0.8461538461538461|ura|0.8461538461538461
ahp|soy|0.4545454545454546|myk|0.5|ikk|0.5|ibo|0.5|bba|0.5384615384615384
ahs|nin|0.33333333333333337|ikk|0.5|ibo|0.5|ken|0.5294117647058824|mkl|0.5555555555555556
aht|gwi|0.3846153846153846|dgr|0.3846153846153846|cbu|0.75|con|0.75|ata|0.75
aib|kaz|0.5714285714285714|tur|0.6|azj|0.625|uzn|0.625|cbu|0.8
aic|cbu|0.7142857142857143|con|0.7142857142857143|ata|0.7142857142857143|ura|0.7142857142857143|guo|0.75
aid|cbu|0.75|con|0.75|ata|0.75|ura|0.75|guo|0.7777777777777778
aie|mbh|0.15384615384615385|met|0.16666666666666663|apr|0.16666666666666663|mee|0.19999999999999996|tbc|0.23076923076923073
aif|cbu|0.7142857142857143|con|0.7142857142857143|ata|0.7142857142857143|ura|0.7142857142857143|guo|0.75
aig|srm|0.1875|bzj|0.19999999999999996|eng|0.19999999999999996|srn|0.21212121212121215|rop|0.22580645161290325
aih|lao|0.7|cbu|0.8|con|0.8|ata|0.8|ura|0.8
aii|heb|0.4545454545454546|arb|0.5238095238095238|mlt|0.5454545454545454|amh|0.6363636363636364|cbu|0.8666666666666667
aij|heb|0.5|arb|0.5652173913043479|mlt|0.5833333333333333|amh|0.6666666666666667|cbu|0.8823529411764706
aik|nin|0.4444444444444444|ikk|0.5|ibo|0.5|ken|0.5294117647058824|mkl|0.5555555555555556
