target_lang|closest_lang_0|tree_dist_0|closest_lang_1|tree_dist_1|closest_lang_2|tree_dist_2|closest_lang_3|tree_dist_3|closest_lang_4|tree_dist_4
acf|hat|0.918918918918919|fra|0.8648648648648649|cat|0.6875|oci|0.6666666666666666|spa|0.6470588235294118
acr|usp|0.7142857142857143|kek|0.7142857142857143|agu|0.5333333333333333|ttc|0.5333333333333333|lac|0.42857142857142855
acu|hub|0.75|jiv|0.75|cbu|0.3333333333333333|ura|0.3333333333333333|ata|0.3333333333333333
afr|nld|0.8695652173913043|ltz|0.5217391304347826|dan|0.5|eng|0.48|deu|0.48
agd|awb|0.7142857142857143|bjr|0.6153846153846154|tbg|0.6153846153846154|omw|0.6153846153846154|snp|0.42857142857142855
agg|cbu|0.4|ura|0.4|ata|0.4|con|0.4|tca|0.3333333333333333
agn|jav|0.5454545454545454|jvn|0.5454545454545454|tbl|0.5454545454545454|bps|0.5|yka|0.5
agr|cbu|0.4|ura|0.4|ata|0.4|con|0.4|tca|0.3333333333333333
agu|ttc|0.7142857142857143|usp|0.6153846153846154|kek|0.6153846153846154|acr|0.5333333333333333|lac|0.46153846153846156
aia|apb|0.8571428571428571|kwf|0.782608695652174|kwd|0.782608695652174|lgl|0.782608695652174|far|0.75
ake|mbc|0.7692307692307693|cbu|0.2222222222222222|ura|0.2222222222222222|ata|0.2222222222222222|con|0.2222222222222222
alp|hvn|0.43478260869565216|nfa|0.43478260869565216|lex|0.43478260869565216|kje|0.43478260869565216|txq|0.4166666666666667
ame|not|0.7272727272727273|cot|0.6153846153846154|mcb|0.6153846153846154|cni|0.5714285714285714|cpu|0.5333333333333333
amf|cbu|0.2857142857142857|ura|0.2857142857142857|ata|0.2857142857142857|con|0.2857142857142857|tca|0.25
amh|arb|0.47058823529411764|heb|0.4444444444444444|mlt|0.4444444444444444|cbu|0.18181818181818182|ura|0.18181818181818182
amk|apb|0.45454545454545453|tnk|0.43478260869565216|bnp|0.43478260869565216|tte|0.43478260869565216|nlg|0.43478260869565216
apb|aia|0.8571428571428571|kwf|0.8181818181818182|kwd|0.8181818181818182|lgl|0.8181818181818182|far|0.782608695652174
