schwa ə
gsth ɡ
bsth b
dsth d
P2h6 øːɐ
P9hn œːn
P9P2 œø
P3hn ɛːn
sil ~
aAN aɑŋ
aeN aeŋ
aen aen
Ah6 ɑːɐ
ah6 aɐː
Ahn ɑːn
AhN ɑːŋ
ahn aːn
ahN aːŋ
aO1 aɔɶ
ao1 aoɶ
aoN aoŋ
yh6 ʏːɐ
yP6 ʏɐ
UP6 ʊɐ
uP6 uɐ
EP6 eɐ
eP6 eɐ
EeN ɛeŋ
Eh6 ɛːɐ
Ehn ɛːn
EhN ɛːŋ
ih6 iːɐ
ihn iːn
ihN iːŋ
kch kx
e~: eː
iP6 iɐ
oaN oaŋ
OaN ɔaŋ
Oan ɔan
oan oan
Oh6 ɔːɐ
oh6 oːɐ
Ohn ɔːn
ohn oːn
P6N ɐŋ
P6n ɐn
P6O ɐɔ
P6U ɐʊ
P96 œɐ
P9e œe
P9h œː
pau ~
OP6 ɔɐ
P1h ɶ
P2h øː
P3h ɛː
P1: ɶ
uh6 uːɐ
Uh6 ʊːɐ
A6 ɑɐ
a6 aɐ
aA aɑ
ae ae
aE aɛ
ah aː
Ah ɑː
AI ɑɪ
aI aɪ
AN ɑŋ
aN aŋ
An ɑn
an an
ao ao
aO aɔ
aU aʊ
Y6 ʏɐ
yh ʏː
bf bf
ch x
dF d
E6 ɛɐ
ea ea
Ea ɛa
eE eɛ
Ee ɛe
eh eː
Eh ɛː
Ei ɛi
EN ɛŋ
En ɛn
GS ʔ
I6 ɪɐ
i6 iɐ
iE iɛ
ih iː
Ii ɪi
iN iŋ
in in
iV i
kH kɥ
ks ks
ll l
ml m
Nl ŋ
nl n
O6 ɔɐ
Oa ɔ
oa o
Oe ɔe
OE ɔɛ
oe oe
Oh ɔː
oh oː
oI oɪ
oi oi
ON ɔŋ
On ɔn
Oo ɔo
OU ɔʊ
OY ɔʏ
P2 ø
P6 ɐ
P9 œ
pH pɥ
Qh ɒː
RX ʀχ
sh sː
tH tɥ
tS tʃ
ts ts
U6 ʊɐ
ua ua
ue ue
uh uː
Ui ʊi
ui ui
uI uɪ
uN uŋ
Uu ʊu
A a
a a
B β
b b
E ɛ
C ç
D ð
d d
e e
f f
G ɣ
g ɡ
h h
I ɪ
i i
j j
k k
L ʎ
l l
m m
N ŋ
n n
O ɔ
o o
p p
R ʀ
r r
S ʃ
s s
t t
U ʊ
u u
v v
Y ʏ
y y
Z ʒ
z z
