ipa,syl,son,cons,cont,delrel,lat,nas,strid,voi,sg,cg,ant,cor,distr,lab,hi,lo,back,round,velaric,tense,long,hitone,hireg,localdurationandpitch
end_of_input,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ˈ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ˌ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
ː,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
ˑ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
˘,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
‖,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
~,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
ʘ,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,0,1,1,-1,0,-1,1,0,-1,0,0,0
ǀ,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,1,1,-1,1,-1,0,-1,1,0,-1,0,0,0
ǂ,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,1,1,-1,1,-1,0,-1,1,0,-1,0,0,0
ǁ,-1,-1,1,-1,-1,1,-1,0,-1,-1,-1,1,1,-1,-1,1,-1,0,-1,1,0,-1,0,0,0
c,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,0,-1,0,0,0
ɡ,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,0,-1,1,-1,1,-1,-1,0,-1,0,0,0
k,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,1,-1,1,-1,-1,0,-1,0,0,0
q,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,1,-1,-1,0,-1,0,0,0
ɖ,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0,0
ɟ,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,0,-1,0,0,0
ɠ,-1,-1,1,-1,-1,-1,-1,0,1,-1,1,-1,-1,0,-1,1,-1,1,-1,-1,0,-1,0,0,0
ɢ,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,0,-1,-1,-1,1,-1,-1,0,-1,0,0,0
ʄ,-1,-1,1,-1,-1,-1,-1,0,1,-1,1,-1,-1,0,-1,1,-1,-1,-1,-1,0,-1,0,0,0
ʈ,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0,0
ʛ,-1,-1,1,-1,-1,-1,-1,0,1,-1,1,-1,-1,0,-1,-1,-1,1,-1,-1,0,-1,0,0,0
